자치구,행정동,전이확률,1위원인,1위SHAP,2위원인,2위SHAP,3위원인,3위SHAP
서대문구,홍제2동,0.0254,독거비율,-0.3831,고립수준(외출↓),0.3326,이동수준,-0.2854
서대문구,홍은1동,0.0251,고립수준(외출↓),-1.1675,최근인프라,0.9754,인프라밀도,0.504
서대문구,홍은2동,0.0241,최근인프라,0.741,인프라밀도,0.5705,독거비율,-0.5224
서대문구,남가좌2동,0.0226,고립수준(외출↓),-0.238,독거변화(22→23),0.1994,인구규모,-0.1981
서대문구,북가좌1동,0.022,최근인프라,0.4304,고립수준(외출↓),-0.3898,고립변화(22→23),-0.313
서대문구,북가좌2동,0.022,최근인프라,0.7404,독거비율,-0.4935,인프라밀도,0.4443
서대문구,충현동,0.0215,최근인프라,0.5067,인프라밀도,0.4636,독거비율,-0.4196
서대문구,연희동,0.0205,최근인프라,-0.8828,고립변화(22→23),0.5882,고립수준(외출↓),0.533
마포구,용강동,0.02,고립수준(외출↓),-0.4152,고립변화(22→23),-0.36,최근인프라,0.3283
마포구,염리동,0.02,이동수준,0.7977,최근인프라,-0.5036,고립수준(외출↓),-0.3962
마포구,신수동,0.0198,최근인프라,0.3416,고립수준(외출↓),-0.3016,이동수준,-0.2821
마포구,서교동,0.0195,고립수준(외출↓),-1.0803,최근인프라,0.7535,이동수준,0.5931
마포구,합정동,0.0193,최근인프라,-0.7523,인프라밀도,-0.4265,이동수준,0.3227
마포구,망원1동,0.0189,최근인프라,-0.6754,인프라밀도,-0.3287,고립수준(외출↓),0.2789
마포구,망원2동,0.0186,최근인프라,0.3299,고립수준(외출↓),-0.2392,인구규모,-0.2361
마포구,연남동,0.0184,독거비율,-0.3877,인구규모,0.2873,이동수준,-0.2759
마포구,성산1동,0.0181,최근인프라,0.8928,고립수준(외출↓),-0.6204,이동변화(22→23),-0.4689
마포구,성산2동,0.0179,최근인프라,-0.5678,독거변화(22→23),0.3528,인프라밀도,-0.3203
마포구,상암동,0.0178,최근인프라,-0.7784,고립변화(22→23),0.4831,인프라밀도,-0.4429
마포구,도화동,0.0171,독거비율,-0.3723,고립수준(외출↓),0.2992,이동수준,-0.2896
마포구,서강동,0.0169,고립수준(외출↓),0.7229,최근인프라,-0.7152,인프라밀도,-0.3173
마포구,공덕동,0.0161,최근인프라,-0.774,인프라밀도,-0.4514,고립수준(외출↓),0.3264
마포구,아현동,0.0159,최근인프라,-0.7989,고립수준(외출↓),0.6909,이동수준,-0.3802
양천구,목1동,0.0156,최근인프라,-0.9016,고립변화(22→23),0.4551,이동수준,-0.4072
양천구,목2동,0.0154,독거비율,-0.5075,최근인프라,0.4513,이동수준,-0.3119
양천구,목3동,0.0149,고립수준(외출↓),0.757,최근인프라,-0.7456,인프라밀도,-0.3227
양천구,목4동,0.0147,최근인프라,-0.8666,고립변화(22→23),0.5792,인프라밀도,-0.4275
양천구,신월1동,0.0146,최근인프라,-0.6246,고립수준(외출↓),0.5824,인프라밀도,-0.2715
양천구,신월2동,0.0142,최근인프라,0.5371,고립변화(22→23),-0.4807,인프라밀도,0.4407
양천구,신월3동,0.0141,고립수준(외출↓),0.7986,최근인프라,-0.6925,인프라밀도,-0.2785
양천구,신월4동,0.0139,최근인프라,-0.7676,고립수준(외출↓),0.7282,인프라밀도,-0.3806
양천구,신월5동,0.0139,고립변화(22→23),-0.3777,독거비율,-0.3228,고립수준(외출↓),0.2876
양천구,신월7동,0.0138,고립수준(외출↓),-0.375,독거비율,-0.336,이동수준,-0.3027
양천구,신정1동,0.0136,최근인프라,0.5018,독거비율,-0.3886,이동수준,-0.3205
양천구,신정2동,0.0135,최근인프라,-0.7457,고립수준(외출↓),0.7126,인프라밀도,-0.3089
양천구,신정3동,0.0128,독거비율,-0.3845,이동수준,-0.286,인구규모,0.2819
양천구,신정6동,0.0127,최근인프라,-0.7244,고립수준(외출↓),0.3784,인프라밀도,-0.3118
양천구,신정7동,0.0126,최근인프라,-0.8384,고립수준(외출↓),0.5813,인프라밀도,-0.3886
양천구,목5동,0.0124,최근인프라,-0.7714,인프라밀도,-0.4409,독거비율,0.1917
양천구,신정4동,0.0121,최근인프라,-0.7605,인프라밀도,-0.4465,이동수준,0.4137
강서구,염창동,0.0121,최근인프라,-0.6592,이동수준,0.4167,인프라밀도,-0.3303
강서구,등촌1동,0.012,고립수준(외출↓),0.8201,최근인프라,-0.7529,인프라밀도,-0.3753
강서구,등촌2동,0.0116,독거비율,-0.4088,이동수준,-0.3083,고립변화(22→23),-0.2972
강서구,등촌3동,0.0114,최근인프라,-0.6503,이동수준,0.4425,인프라밀도,-0.3645
강서구,화곡본동,0.0112,독거비율,-0.4093,고립수준(외출↓),-0.4004,이동수준,-0.2869
강서구,화곡2동,0.0111,최근인프라,-0.7908,고립수준(외출↓),0.5512,인프라밀도,-0.4314
강서구,화곡3동,0.0111,최근인프라,-0.8612,고립수준(외출↓),0.4963,이동수준,-0.406
강서구,화곡4동,0.0111,최근인프라,-0.6251,이동수준,0.3215,인프라밀도,-0.2984
강서구,화곡6동,0.011,최근인프라,-0.6785,고립수준(외출↓),0.5675,인프라밀도,-0.3728
강서구,화곡8동,0.0107,최근인프라,-0.6141,인프라밀도,-0.3756,독거변화(22→23),0.3516
강서구,가양1동,0.0106,최근인프라,-0.7222,인프라밀도,-0.38,고립수준(외출↓),0.2763
강서구,가양2동,0.0105,이동수준,0.7195,최근인프라,-0.598,인구규모,-0.4411
강서구,가양3동,0.0105,최근인프라,-0.6661,고립수준(외출↓),0.5527,인프라밀도,-0.3355
강서구,발산1동,0.0105,최근인프라,-0.8235,인프라밀도,-0.4578,고립수준(외출↓),0.3308
강서구,공항동,0.0101,최근인프라,-0.6559,고립수준(외출↓),-0.4335,인프라밀도,-0.3999
강서구,방화1동,0.0096,최근인프라,-0.8878,인프라밀도,-0.4099,이동수준,-0.3892
강서구,방화2동,0.0094,최근인프라,-0.5664,고립수준(외출↓),-0.366,인프라밀도,-0.306
