행정동,자치구,행정동코드,level_외출커뮤적은,level_이동횟수,level_배달식재료,level_독거비율,level_인프라,level_인구,delta_외출커뮤적은,delta_이동횟수,delta_배달식재료,delta_독거비율,infra_slope,infra_delta,infra_recent,전이확률
개봉2동,구로구,1117064,-0.2519176764170916,-0.27339020140639264,-0.016913472030773945,0.0514621307892633,-0.4450053971533915,0.21996213012088112,-0.1437639776183443,0.05438028023518454,0.06443862503820323,0.3313915696022763,-0.01597551032501403,0.018157968527433392,-0.7235265328759689,0.0085
목5동,양천구,1115071,0.5271684925201011,-0.2920241686701894,-0.0663235292905817,-0.24557237657983613,-0.30107102246721634,0.19663362642993404,-0.2573890477566037,0.012621525044449057,-0.016143637176959158,-0.07748041271835071,-0.02722155093245005,0.028344206274051594,-0.6114527160955662,0.0085
구산동,은평구,1112057,0.4120617533070452,-0.2749253447950361,-0.04224736001456634,-0.192770162494983,-0.29409872191625885,0.12790970167677393,-0.15686494622938066,0.053211923679212306,-0.008637887462780837,0.05348515979354658,-0.16075744294673025,-0.044313525617986856,-0.6071980776157611,0.0085
월곡1동,성북구,1108071,0.012908070693757325,0.06467878735260535,-0.06846460509953885,0.1749858965677245,-0.46214261866903494,0.03922326044605108,-0.12304918073306195,0.006716854080339233,-0.02467170802318294,0.11580794688913633,-0.03065939474565438,0.004090599268140474,-0.8508482712624084,0.0084
서림동,관악구,1121066,0.25130333047123193,-0.057121754172391806,-0.10069303473142215,0.012087017292267457,-0.3873946852320204,-0.07923252766747638,-0.12373443032564577,0.04106622217627543,-0.06983061298429243,0.09400930578077622,-0.017454052995333005,0.001406235707497265,-0.719085713702713,0.0083
약수동,중구,1102071,-0.2801548326565707,-0.043352634324398544,0.017888070740922368,0.04330045107042513,-0.3883357066579768,-0.11864553282665748,-0.20451854395549254,0.01004704231503509,0.05741842798629677,0.36502505016990194,0.002894809689351522,-0.012973026579940653,-0.6195446041166595,0.0082
묵2동,중랑구,1107065,-0.3341709912650074,-0.00866019123339852,-0.068315491808172,0.12901575503690982,-0.3938089512013858,-0.08983478834024503,0.08518824629971021,0.05115825058296232,-0.029997376881937397,0.11920618438905022,0.026940702879457188,0.051871643361158945,-0.7090188109694123,0.0082
정릉4동,성북구,1108065,-0.2559192831457052,-0.33014018039160553,-0.03147000915394076,0.10722293501123505,-0.46460003124530375,-0.022539309281409636,0.5319225719437577,0.052533865390347795,0.01399414085427159,0.011783926640174976,0.006421800480667315,0.021725408918177928,-0.8457984612144094,0.0079
둔촌1동,강동구,1125070,-0.3929373384296496,-0.2561553919978492,0.165325154644251,0.30445017415943526,-0.3765753058361599,-0.09780208230375771,0.1360123007796095,0.055089932495786906,-0.05987397893332491,0.07508333254035822,0.0208393643849164,-0.08756304432662293,-0.6970474240881994,0.0079
신길4동,영등포구,1119066,-0.36060609342913397,0.2784473501458519,0.18202617733372542,0.0081035750740722,-0.341293846244965,-0.1719495916150896,-0.10561800628935493,-0.1457915919160695,-0.027643356408562234,0.1163780080365975,-0.008625369180663114,-0.012623245728385322,-0.6508375174663685,0.0076
