행정동코드,자치구,행정동,adm_cd8,level_외출커뮤적은,level_이동횟수,level_배달식재료,level_독거비율,level_인프라,level_인구,delta_외출커뮤적은,delta_이동횟수,delta_배달식재료,delta_독거비율,adm_cd8_str,infra_slope,infra_delta,infra_recent,dep_2022,dep_2023,dep_2024,dep_2025,dep_slope_annual,label_slope,label_entry
1102057,중구,필동,11140570,8.134319900494162,19.77402777777778,0.4638888888888889,0.3123710158983545,578.6875,534.8635416666667,-0.6397509120994371,-7.168055555555554,-0.2783333333333334,-0.011949067111471756,11140570,2.2191176470588236,29.75,604.0,,,,,,0,
1102059,중구,광희동,11140590,19.71780118968927,20.50375,1.1365277777777778,0.25717184871874854,1291.8125,906.2497916666666,2.1960642872881344,-7.340277777777779,0.13916666666666688,-0.0039848311779518975,11140590,-2.025,-25.25,1269.0,,,,,,0,
1102065,중구,신당5동,11140650,7.773803029936472,21.485555555555557,0.8581944444444444,0.18811290536084585,390.875,1203.8866666666665,0.8412828290159444,-8.137777777777778,-0.32472222222222213,-0.0046129412041788775,11140650,-1.2352941176470589,-13.5,387.0,,,,,,0,
1102067,중구,황학동,11140670,11.73346499550411,21.19472222222222,1.1365277777777778,0.17327132773486031,691.1875,1485.8341666666665,-1.2408188798971143,-7.362222222222222,-0.32472222222222213,-0.002167298203403889,11140670,-1.1485294117647058,-11.0,666.0,,,52.1,,,0,
1102068,중구,중림동,11140680,6.119015723446523,24.479583333333334,1.3220833333333333,0.12851649596348877,349.25,1114.6156250000001,-0.30692033578193456,-9.204166666666666,-0.046388888888889035,0.0016190780617287848,11140680,-1.4058823529411764,-16.0,336.0,,,,,,0,
1102069,중구,신당동,11140615,25.657579640240485,22.142916666666665,1.1597222222222223,0.2372769200876388,671.5625,1465.5560416666667,4.089840719519028,-8.439166666666665,-0.37111111111111117,0.019365069748072034,11140615,-4.3691176470588236,-46.75,641.0,,,65.1,63.7,-1.3999999999999915,0,
1102070,중구,다산동,11140625,13.543185903828931,22.567777777777778,1.2988888888888888,0.11799621067406287,379.5625,1543.805,2.791405970119916,-8.894444444444446,-0.463888888888889,-0.004063516716280441,11140625,-1.7220588235294119,-20.5,366.0,,48.6,41.5,40.6,-4.0,0,
1102071,중구,약수동,11140635,11.76743154427433,24.95125,1.298888888888889,0.11573785930626143,314.5,2016.3102083333333,-4.967085310770885,-9.703055555555558,0.37111111111111117,0.009061282864273032,11140635,-0.21764705882352942,-2.0,302.0,34.4,48.7,36.8,44.0,1.69,1,0.0
1102072,중구,청구동,11140645,10.051017964416063,23.699305555555554,1.6004166666666666,0.11806105929597949,208.625,1712.325,0.8540751822789829,-9.828611111111108,-0.04638888888888859,-0.012775418190946936,11140645,-2.8558823529411765,-37.0,167.0,38.9,48.9,36.8,36.7,-1.8699999999999988,0,0.0
1102073,중구,동화동,11140665,10.82292722652976,21.44902777777778,0.8813888888888888,0.06752811705227674,244.0,1298.5977083333335,0.66692332471826,-8.692499999999999,-0.37111111111111095,0.00276586577172154,11140665,-0.538235294117647,-5.5,241.0,,,,,,0,
1103051,용산구,후암동,11170510,14.719691090358525,23.423055555555557,0.997361111111111,0.15354883482733955,444.1875,1850.5122916666667,-1.4893821807170475,-8.708333333333332,0.04638888888888881,0.007827909946793637,11170510,0.5485294117647059,7.5,440.0,39.3,49.5,42.6,45.1,1.0500000000000014,0,0.0
1103052,용산구,용산2가동,11170520,16.343216460705566,23.638333333333332,0.4638888888888889,0.15119610730081873,396.4375,1203.6429166666667,7.11078930081109,-9.729999999999997,0.6494444444444445,0.004909694500014383,11170520,2.4544117647058825,28.75,418.0,,,,,,0,
1103053,용산구,남영동,11170530,14.375592421849271,21.180694444444445,1.0669444444444443,0.31367524713146977,625.1875,1445.9920833333333,-3.5522959548096544,-7.750833333333333,-0.4638888888888888,0.007207262738945341,11170530,1.5455882352941177,19.0,628.0,,,,,,0,
1103057,용산구,원효로2동,11170570,7.835988562123895,26.779444444444444,1.2756944444444445,0.09462555808149997,255.3125,1616.77625,-1.413643790914458,-10.51444444444444,0.04638888888888881,0.0037771759608623973,11170570,-2.177941176470588,-26.25,233.0,29.3,40.8,36.5,36.9,1.8499999999999996,1,0.0
1103058,용산구,효창동,11170580,4.7118697507411476,25.627916666666664,0.9045833333333333,0.09950252349810432,142.5,974.84875,-0.040961723704517006,-9.985277777777778,-0.13916666666666666,0.0038508727965141515,11170580,-0.19411764705882353,-1.25,141.0,,,,,,0,
1103059,용산구,용문동,11170590,9.388925322011502,25.198055555555555,1.3916666666666666,0.1097856910908449,304.3125,1347.3833333333334,1.6943715781992186,-10.007222222222225,0.5566666666666666,-0.0002283512518907599,11170590,-0.31323529411764706,-7.5,292.0,,,,,,0,
1103063,용산구,이촌1동,11170630,11.103102263773993,30.302638888888886,1.4148611111111111,0.041393661115531735,375.0,2616.5197916666666,0.5793510280075687,-12.1725,0.41749999999999976,-0.0001326922939345193,11170630,-2.5088235294117647,-31.25,353.0,25.3,44.9,34.3,32.9,1.2199999999999993,0,0.0
1103064,용산구,이촌2동,11170640,5.789937087994685,27.507916666666667,0.5102777777777778,0.08682275205127413,153.4375,966.3135416666668,2.174014712899517,-9.859166666666667,0.18555555555555558,-0.0031124930705481307,11170640,-0.575,-7.0,137.0,,,,,,0,
1103065,용산구,이태원1동,11170650,13.878863625098667,21.990833333333335,0.5334722222222221,0.19071241897626462,794.75,813.41375,-2.1271716946417794,-9.426666666666666,-0.2319444444444444,-0.003558061394918266,11170650,1.8352941176470587,21.75,793.0,,,,,,0,
1103066,용산구,이태원2동,11170660,14.817182313238858,24.84236111111111,1.0205555555555557,0.1327401994264304,484.375,937.7889583333334,0.5934131513000622,-9.486944444444443,-0.6494444444444445,-0.0007840409840003948,11170660,-1.3941176470588235,-17.5,471.0,,,,,,0,
1103069,용산구,서빙고동,11170690,4.759943891393548,28.835555555555555,0.835,0.07090870185327791,173.125,1505.6958333333332,1.2384455505462366,-11.31388888888889,-0.2783333333333333,-0.00010765941785305377,11170690,-0.38529411764705884,-4.25,169.0,,,18.9,24.3,5.400000000000002,1,
1103070,용산구,보광동,11170700,14.645913879019016,23.21361111111111,0.835,0.19900602678306817,410.8125,1694.114375,0.16539446418419423,-9.051111111111112,-0.4638888888888887,0.004472493894133872,11170700,-9.745588235294118,-112.0,330.0,42.8,46.2,36.2,35.3,-3.25,0,0.0
1103071,용산구,청파동,11170555,17.499022903147427,21.64236111111111,1.159722222222222,0.1543414822451709,709.6875,2108.0075,0.5908430825940378,-7.416388888888889,0.4638888888888889,0.001562764623311813,11170555,1.4838235294117648,23.0,708.0,45.7,61.4,53.2,52.2,1.1300000000000003,0,0.0
1103072,용산구,원효로1동,11170560,16.540277672303056,25.184722222222224,1.5540277777777778,0.103050795880814,562.5,1371.2452083333335,1.393333544282772,-9.902222222222228,-0.046388888888889035,-0.001560234391532564,11170560,-0.5117647058823529,-6.25,549.0,,,,46.6,,0,
1103073,용산구,한강로동,11170625,20.72311881982746,27.72888888888889,1.67,0.12487711251247458,1632.0,2344.5608333333334,-2.6412376396549178,-10.959999999999997,0.0,-0.0023960464534362874,11170625,10.852941176470589,129.0,1680.0,55.1,66.1,59.4,59.9,0.7699999999999996,0,1.0
