d_admdong_cd,gu_nm,dong_nm,dong_full
11620765,관악구,미성동,서울특별시 관악구 미성동
11650510,서초구,서초1동,서울특별시 서초구 서초1동
11650520,서초구,서초2동,서울특별시 서초구 서초2동
11650530,서초구,서초3동,서울특별시 서초구 서초3동
11650531,서초구,서초4동,서울특별시 서초구 서초4동
11650540,서초구,잠원동,서울특별시 서초구 잠원동
11650550,서초구,반포본동,서울특별시 서초구 반포본동
11650560,서초구,반포1동,서울특별시 서초구 반포1동
11650570,서초구,반포2동,서울특별시 서초구 반포2동
11650580,서초구,반포3동,서울특별시 서초구 반포3동
11650581,서초구,반포4동,서울특별시 서초구 반포4동
11650590,서초구,방배본동,서울특별시 서초구 방배본동
11650600,서초구,방배1동,서울특별시 서초구 방배1동
11650610,서초구,방배2동,서울특별시 서초구 방배2동
11650620,서초구,방배3동,서울특별시 서초구 방배3동
11650621,서초구,방배4동,서울특별시 서초구 방배4동
11650651,서초구,양재1동,서울특별시 서초구 양재1동
11650652,서초구,양재2동,서울특별시 서초구 양재2동
11650660,서초구,내곡동,서울특별시 서초구 내곡동
11680510,강남구,신사동,서울특별시 강남구 신사동
11680521,강남구,논현1동,서울특별시 강남구 논현1동
11680531,강남구,논현2동,서울특별시 강남구 논현2동
11680580,강남구,삼성1동,서울특별시 강남구 삼성1동
11680590,강남구,삼성2동,서울특별시 강남구 삼성2동
11680600,강남구,대치1동,서울특별시 강남구 대치1동
11680630,강남구,대치4동,서울특별시 강남구 대치4동
11680640,강남구,역삼1동,서울특별시 강남구 역삼1동
11680650,강남구,역삼2동,서울특별시 강남구 역삼2동
11680655,강남구,도곡1동,서울특별시 강남구 도곡1동
11680656,강남구,도곡2동,서울특별시 강남구 도곡2동
11680660,강남구,개포1동,서울특별시 강남구 개포1동
11680690,강남구,개포4동,서울특별시 강남구 개포4동
11680720,강남구,일원본동,서울특별시 강남구 일원본동
11680730,강남구,일원1동,서울특별시 강남구 일원1동
11680675,강남구,개포3동,서울특별시 강남구 개포3동
11680750,강남구,수서동,서울특별시 강남구 수서동
11680700,강남구,세곡동,서울특별시 강남구 세곡동
11680545,강남구,압구정동,서울특별시 강남구 압구정동
11680565,강남구,청담동,서울특별시 강남구 청담동
11680610,강남구,대치2동,서울특별시 강남구 대치2동
11680670,강남구,개포2동,서울특별시 강남구 개포2동
11710510,송파구,풍납1동,서울특별시 송파구 풍납1동
11710520,송파구,풍납2동,서울특별시 송파구 풍납2동
11710531,송파구,거여1동,서울특별시 송파구 거여1동
11710532,송파구,거여2동,서울특별시 송파구 거여2동
11710540,송파구,마천1동,서울특별시 송파구 마천1동
11710550,송파구,마천2동,서울특별시 송파구 마천2동
11710561,송파구,방이1동,서울특별시 송파구 방이1동
11710562,송파구,방이2동,서울특별시 송파구 방이2동
11710566,송파구,오륜동,서울특별시 송파구 오륜동
11710570,송파구,오금동,서울특별시 송파구 오금동
11710580,송파구,송파1동,서울특별시 송파구 송파1동
11710590,송파구,송파2동,서울특별시 송파구 송파2동
11710600,송파구,석촌동,서울특별시 송파구 석촌동
