label,n_repeats,repeat,condition,ap,auc,p_at_n,r_precision
label_slope,10,4,GB_SMOTE,0.6152370219721551,0.75440313111546,0.8,0.5958904109589042
label_slope,10,5,GB_SMOTE,0.6228578914273907,0.7712629835917506,0.75,0.5821917808219178
label_slope,10,6,GB_SMOTE,0.6135802130132864,0.7468262331276029,0.9,0.5547945205479452
label_slope,10,7,GB_SMOTE,0.619796199814091,0.7506146821215315,0.9,0.547945205479452
label_slope,10,8,GB_SMOTE,0.5822628801461062,0.7355110642781876,0.85,0.541095890410959
label_slope,10,9,GB_SMOTE,0.6059420012960053,0.7675999799287471,0.8,0.589041095890411
label_slope,10,10,GB_SMOTE,0.6203587778892226,0.7477545285764463,0.85,0.5616438356164384
label_slope,10,1,GB_HPtuned,0.640494356958233,0.7734457323498419,0.95,0.5821917808219178
label_slope,10,2,GB_HPtuned,0.6292612336403498,0.7791158613076421,0.7,0.5821917808219178
label_slope,10,3,GB_HPtuned,0.6691786242127528,0.7856641075819157,0.85,0.6301369863013698
label_slope,10,4,GB_HPtuned,0.5934014579790211,0.7634351949420444,0.65,0.5821917808219178
label_slope,10,5,GB_HPtuned,0.6088304140768517,0.7620803853680564,0.6,0.5958904109589042
label_slope,10,6,GB_HPtuned,0.6258071842437287,0.7697325505544684,0.85,0.6027397260273972
label_slope,10,7,GB_HPtuned,0.6343036012016194,0.7671483767374178,0.8,0.5821917808219178
label_slope,10,8,GB_HPtuned,0.6309849926793953,0.7665964172813489,0.85,0.5616438356164384
label_slope,10,9,GB_HPtuned,0.599977849848039,0.7773596266746952,0.65,0.6301369863013698
label_slope,10,10,GB_HPtuned,0.6473459464458693,0.7781875658587988,0.75,0.6232876712328768
label_slope,10,1,Ensemble,0.6419291691322189,0.7786391690501281,0.85,0.5547945205479452
label_slope,10,2,Ensemble,0.6436892863219733,0.785513573184806,0.8,0.6095890410958904
label_slope,10,3,Ensemble,0.6809542653084061,0.7957248231220835,0.95,0.6095890410958904
label_slope,10,4,Ensemble,0.6337988005767965,0.7768829344171809,0.7,0.6164383561643836
label_slope,10,5,Ensemble,0.6513926283257571,0.7930152039741081,0.8,0.6232876712328768
label_slope,10,6,Ensemble,0.6533710537265642,0.7887249736564805,0.8,0.6095890410958904
label_slope,10,7,Ensemble,0.6587446848254218,0.7876712328767124,0.9,0.6095890410958904
label_slope,10,8,Ensemble,0.6348090725588589,0.7708364694666064,0.9,0.589041095890411
label_slope,10,9,Ensemble,0.6560069297924042,0.7858648201113954,0.85,0.589041095890411
label_slope,10,10,Ensemble,0.662638875794277,0.7884991720608158,0.9,0.6095890410958904
label_slope,10,1,LR_baseline,0.6059230170096848,0.7678759596567817,0.65,0.5958904109589042
label_slope,10,2,LR_baseline,0.5914474423824276,0.7558081188218175,0.75,0.5684931506849316
label_slope,10,3,LR_baseline,0.6200043950255105,0.7712629835917508,0.7,0.5958904109589042
label_slope,10,4,LR_baseline,0.5895712931895282,0.760700486727884,0.65,0.5958904109589042
label_slope,10,5,LR_baseline,0.5995034166465866,0.7685784535099605,0.6,0.6027397260273972
label_slope,10,6,LR_baseline,0.5990158966623069,0.7643133122585178,0.65,0.5958904109589042
label_slope,10,7,LR_baseline,0.6107105329910749,0.7661699031562045,0.7,0.589041095890411
label_slope,10,8,LR_baseline,0.589966501015971,0.7589944302273071,0.55,0.6095890410958904
label_slope,10,9,LR_baseline,0.6034195864316518,0.7621054744342415,0.7,0.5821917808219178
label_slope,10,10,LR_baseline,0.6060009371117694,0.7675748908625621,0.7,0.5958904109589042
