행정동코드,자치구,행정동,전이확률_GB,전이확률_정규화,Avoidance,Shadow_Score,위험등급,dep_2025,dep_slope_annual
1112060,은평구,응암2동,0.0043,0.18103643358225843,67.8,17.09,저위험,41.8,1.5699999999999996
1112067,은평구,증산동,0.0037,0.11314777098891153,67.8,17.03,저위험,37.3,-1.94
1119068,영등포구,신길6동,0.0037,0.11314777098891153,67.4,16.93,저위험,43.4,0.420000000000001
1119069,영등포구,신길7동,0.0027,0.0,67.4,16.85,저위험,30.2,0.3599999999999994
1106087,동대문구,장안1동,0.1078,11.891830730934604,31.5,16.79,저위험,67.2,0.8200000000000017
1109064,강북구,수유2동,0.0121,1.063589047295768,63.8,16.75,저위험,47.6,-0.9999999999999992
1108083,성북구,동선동,0.0676,7.343290337180358,44.6,16.66,저위험,48.9,-2.700000000000003
1109069,강북구,삼양동,0.0105,0.88255261371351,63.8,16.61,저위험,47.4,1.05
1125061,강동구,천호1동,0.0398,4.1977823036886175,53.6,16.55,저위험,51.9,1.1400000000000006
1116073,강서구,화곡1동,0.0431,4.571169947952026,52.3,16.5,저위험,72.0,0.1900000000000005
1124067,송파구,가락2동,0.0184,1.776420004525911,60.6,16.48,저위험,46.0,0.0399999999999991
1109074,강북구,우이동,0.0086,0.667571848834578,63.8,16.45,저위험,48.3,-0.4300000000000011
1105056,광진구,중곡2동,0.0285,2.9192124915139175,56.5,16.31,저위험,53.5,2.35
1124056,송파구,마천2동,0.0161,1.5161801312514145,60.6,16.29,저위험,51.4,2.379999999999998
1109061,강북구,번2동,0.0057,0.3394433129667346,63.8,16.2,저위험,40.6,3.390000000000001
1109062,강북구,번3동,0.0052,0.2828694274722788,63.8,16.16,저위험,42.0,2.2099999999999995
1107052,중랑구,면목2동,0.0674,7.320660782982577,42.3,16.07,저위험,60.8,0.0199999999999981
1109073,강북구,삼각산동,0.004,0.14709210228558497,63.8,16.06,저위험,43.0,2.2
1124081,송파구,장지동,0.0089,0.7015161801312514,60.6,15.68,저위험,43.4,1.9499999999999995
1123067,강남구,도곡2동,0.0128,1.1427924869880066,59.2,15.66,저위험,44.9,2.4400000000000004
1105067,광진구,자양4동,0.02,1.9574564381081694,56.5,15.59,저위험,59.0,-0.9499999999999992
1116059,강서구,화곡4동,0.0321,3.3265444670739983,52.3,15.57,저위험,51.8,-0.1700000000000003
1105057,광진구,중곡3동,0.0193,1.8782529984159313,56.5,15.53,저위험,54.5,2.59
1124077,송파구,잠실6동,0.006,0.37338764426340804,60.6,15.43,저위험,39.1,-0.1300000000000004
1124080,송파구,잠실3동,0.0059,0.36207286716451687,60.6,15.42,저위험,42.1,1.4500000000000006
1124055,송파구,마천1동,0.0055,0.31681375876895224,60.6,15.39,저위험,43.8,0.4199999999999989
1105062,광진구,구의3동,0.0171,1.629327902240326,56.5,15.35,저위험,47.8,0.4300000000000004
1124051,송파구,풍납1동,0.0049,0.24892509617560535,60.6,15.34,저위험,31.1,0.1700000000000006
1124054,송파구,거여2동,0.0048,0.23761031907671412,60.6,15.33,저위험,40.2,0.35
1105058,광진구,중곡4동,0.0169,1.6066983480425436,56.5,15.33,저위험,55.5,0.55
1124082,송파구,위례동,0.0047,0.22629554197782306,60.6,15.32,저위험,39.9,3.31
1104070,성동구,용답동,0.0114,0.9843856076035303,58.2,15.29,저위험,49.0,0.4800000000000004
1124052,송파구,풍납2동,0.0039,0.1357773251866938,60.6,15.25,저위험,40.0,-0.6499999999999992
1124079,송파구,잠실2동,0.0038,0.12446254808780267,60.6,15.24,저위험,33.0,2.6499999999999995
1124068,송파구,문정1동,0.0036,0.10183299389002036,60.6,15.23,저위험,45.0,0.9300000000000004
1123076,강남구,세곡동,0.0076,0.5544240778456664,59.2,15.22,저위험,47.7,3.7400000000000007
1124075,송파구,잠실4동,0.0035,0.09051821679112922,60.6,15.22,저위험,26.6,0.0600000000000008
1104069,성동구,송정동,0.0105,0.88255261371351,58.2,15.21,저위험,42.7,2.53
1124059,송파구,오륜동,0.0033,0.0678886625933469,60.6,15.2,저위험,23.2,0.4699999999999999
1124057,송파구,방이1동,0.0033,0.0678886625933469,60.6,15.2,저위험,42.2,1.730000000000001
1124062,송파구,송파2동,0.0033,0.0678886625933469,60.6,15.2,저위험,33.0,1.86
1124053,송파구,거여1동,0.0031,0.04525910839556459,60.6,15.18,저위험,40.5,2.0900000000000003
1124078,송파구,잠실7동,0.0029,0.022629554197782266,60.6,15.17,저위험,,
1123075,강남구,수서동,0.0061,0.3847024213622992,59.2,15.09,저위험,42.2,-1.069999999999998
1118058,금천구,시흥2동,0.004,0.14709210228558497,59.6,15.01,저위험,33.3,0.729999999999999
1123073,강남구,일원1동,0.0052,0.2828694274722788,59.2,15.01,저위험,39.7,0.5
1107062,중랑구,중화2동,0.0549,5.906313645621181,42.3,15.0,저위험,67.9,1.000000000000001
1123080,강남구,개포2동,0.0049,0.24892509617560535,59.2,14.99,저위험,41.6,1.6300000000000003
1118059,금천구,시흥3동,0.0035,0.09051821679112922,59.6,14.97,저위험,38.3,-3.25
1123071,강남구,개포4동,0.0045,0.20366598778004072,59.2,14.95,저위험,42.0,1.2899999999999987
1123072,강남구,일원본동,0.0042,0.16972165648336726,59.2,14.93,저위험,26.4,-1.4700000000000006
1104056,성동구,행당1동,0.0071,0.49785019235121075,58.2,14.92,저위험,41.5,-1.0
